"REF_DATE","GEO","DGUID","Zero-Emission Vehicles Fuel Type","Vehicle type","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-01","Canada","2016A000011124","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479871","1.1.1.1","3488","","","","0"
"2017-04","Canada","2016A000011124","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479871","1.1.1.1","5025","","","","0"
"2017-07","Canada","2016A000011124","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479871","1.1.1.1","5184","","","","0"
"2017-10","Canada","2016A000011124","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479871","1.1.1.1","5999","","","","0"
"2018-01","Canada","2016A000011124","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479871","1.1.1.1","6844","","","","0"
"2018-04","Canada","2016A000011124","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479871","1.1.1.1","14879","","","","0"
"2018-07","Canada","2016A000011124","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479871","1.1.1.1","12622","","","","0"
"2018-10","Canada","2016A000011124","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479871","1.1.1.1","9938","","","","0"
"2019-01","Canada","2016A000011124","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479871","1.1.1.1","8275","","","","0"
"2019-04","Canada","2016A000011124","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479871","1.1.1.1","19446","","","","0"
"2019-07","Canada","2016A000011124","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479871","1.1.1.1","16186","","","","0"
"2019-10","Canada","2016A000011124","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479871","1.1.1.1","12258","","","","0"
"2020-01","Canada","2016A000011124","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479871","1.1.1.1","11923","","","","0"
"2020-04","Canada","2016A000011124","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479871","1.1.1.1","9203","","","","0"
"2020-07","Canada","2016A000011124","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479871","1.1.1.1","17299","","","","0"
"2020-10","Canada","2016A000011124","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479871","1.1.1.1","15928","","","","0"
"2021-01","Canada","2016A000011124","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479871","1.1.1.1","17285","","","","0"
"2021-04","Canada","2016A000011124","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479871","1.1.1.1","24006","","","","0"
"2021-07","Canada","2016A000011124","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479871","1.1.1.1","23962","","","","0"
"2021-10","Canada","2016A000011124","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479871","1.1.1.1","20779","","","","0"
"2022-01","Canada","2016A000011124","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479871","1.1.1.1","26018","","","","0"
"2022-04","Canada","2016A000011124","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479871","1.1.1.1","29832","","","","0"
"2022-07","Canada","2016A000011124","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479871","1.1.1.1","34313","","","","0"
"2022-10","Canada","2016A000011124","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479871","1.1.1.1","33399","","","","0"
"2023-01","Canada","2016A000011124","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479871","1.1.1.1","30533","","","","0"
"2023-04","Canada","2016A000011124","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479871","1.1.1.1","46657","","","","0"
"2023-07","Canada","2016A000011124","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479871","1.1.1.1","55593","","","","0"
"2017-01","Newfoundland and Labrador","2016A000210","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479872","2.1.1.1","","..","","","0"
"2017-04","Newfoundland and Labrador","2016A000210","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479872","2.1.1.1","","..","","","0"
"2017-07","Newfoundland and Labrador","2016A000210","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479872","2.1.1.1","","..","","","0"
"2017-10","Newfoundland and Labrador","2016A000210","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479872","2.1.1.1","","..","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479872","2.1.1.1","","..","","","0"
"2018-04","Newfoundland and Labrador","2016A000210","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479872","2.1.1.1","","..","","","0"
"2018-07","Newfoundland and Labrador","2016A000210","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479872","2.1.1.1","","..","","","0"
"2018-10","Newfoundland and Labrador","2016A000210","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479872","2.1.1.1","","..","","","0"
"2019-01","Newfoundland and Labrador","2016A000210","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479872","2.1.1.1","","..","","","0"
"2019-04","Newfoundland and Labrador","2016A000210","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479872","2.1.1.1","","..","","","0"
"2019-07","Newfoundland and Labrador","2016A000210","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479872","2.1.1.1","","..","","","0"
"2019-10","Newfoundland and Labrador","2016A000210","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479872","2.1.1.1","","..","","","0"
